id,gpsnanotime,hdSpectrumEye,hdCalibEye,hdXmaxEye,theta,dtheta,phi,dphi,l,b,ra,dec,totalEnergy,dtotalEnergy,calEnergy,dcalEnergy,xmax,dxmax,heightXmax,distXmax,dEdXmax,ddEdXmax,x,dx,y,dy,z,easting,northing,altitude,cherenkovFraction,minViewAngle,uspL,duspL,uspR,duspR,hottestStationId,distSdpStation,distAxisStation,particle_type
4,102450277,1,0,1,39.59,0.4,291.62,1.46,327.1,-33.6,306.04,-68.23,3.313,0.246,2.858,0.209,709.6,12.75,5228.47,20505.52,4.96,0.17,-27306.87,81.87,-1463.09,80.96,23.5,449969.49,6097674.69,1479.52,0.12,31.05,228.44,8.5,0.28,0.05,1083,459.3,746.22,iron
4,158694005,1,0,1,36.95,0.35,167.69,0.89,245.07,13.28,130.99,-20.85,2.162,0.156,1.857,0.132,709.43,13.07,5007.98,11966.88,3.26,0.08,-22119.34,41.8,5483.95,42.18,38.09,455137.06,6104628.64,1478.94,0.07,89.26,226.29,9.95,0.26,0.05,652,133.84,202.91,iron
1,86769536,1,0,1,25.9,0.29,207.37,1.22,266.99,4.21,139.38,-43.25,1.211,0.089,1.029,0.074,786.42,12.61,3255.11,8849.55,1.81,0.04,-11781.25,25.92,-20239.13,25.23,-52.49,465533.6,6078947.13,1390.7,0.07,84.37,225.26,9.27,0.26,0.05,332,124.95,125.57,iron
4,977382895,0,0,1,33.11,0.6,345.49,0.72,2.91,-24.35,294.26,-36.42,0.981,0.068,0.828,0.056,684.63,10.3,4910.32,8740.67,1.49,0.03,-25876.26,63.94,15419.42,19.41,93.48,451356.98,6114548.67,1563.08,0.14,29.04,220.41,9.21,0.26,0.05,734,608.88,614.16,iron
4,574319964,0,0,1,46.26,0.7,280.15,0.63,314.29,-33.33,317.92,-78.4,0.782,0.054,0.654,0.043,656.29,14.89,6680.54,14470.92,1.21,0.04,-25316.11,80.45,9030.34,80.15,58.94,451933.25,6108166.55,1513.79,0.14,21.11,213.97,8.09,0.24,0.05,671,333.12,522.23,iron
1,151109444,0,0,1,27.68,0.42,183.24,1.12,282.28,27.01,171.02,-32.33,0.815,0.068,0.685,0.056,781.91,19.97,3395.75,9761.52,1.21,0.05,-10421.6,30.06,-20385.22,30.99,-50.19,466893.1,6078804.61,1390.5,0.07,80.48,224.01,10.31,0.26,0.05,306,117.06,204.78,iron
2,549367217,0,0,1,65.56,0.43,28.34,1.05,54.23,-23.55,313.58,6.55,4.928,0.393,4.231,0.333,767.57,25.87,9155.15,20441.65,7.07,0.21,-8680.94,335.62,-1788.73,374.77,5.21,468590.42,6097396.84,1413.88,0.03,87.71,237.56,10.59,0.24,0.06,582,373.19,700.97,proton
4,913746933,0,0,1,33.35,0.5,319.45,0.78,315.49,10.28,212.58,-50.66,0.733,0.05,0.614,0.04,718.55,11.97,4519.95,9386.07,1.05,0.03,-29972.34,27.26,8025.17,59.08,53.96,447282.13,6107149.04,1528.14,0.12,31.66,232.15,8.64,0.27,0.05,623,385.03,447.1,iron
2,987246804,0,0,1,45.63,0.67,232.23,0.89,280.9,-5.51,144.78,-59.87,1.122,0.082,0.949,0.067,726.98,19.74,5784.53,13497.43,1.62,0.05,12267.2,74.25,2801.96,88.08,-37.31,489509.07,6102034.53,1375.41,0.07,46.59,232.01,8.89,0.26,0.05,1008,162.53,166.09,iron
1,74758555,0,0,1,46.13,0.5,56.33,0.76,43.72,-9.74,296.48,4.99,0.87,0.066,0.731,0.054,686.97,20.13,6252.26,10882.25,1.3,0.04,-19086.92,28.19,-21931.69,57.54,-64.23,458234.99,6077234.57,1399.18,0.23,22.21,222.77,9.93,0.25,0.05,376,558.86,559.92,iron
1,979231096,1,0,1,45.39,0.55,190.34,0.74,343.1,17.58,238.52,-30.71,2.35,0.173,2.018,0.146,706.92,16.88,5906.27,15006.85,3.69,0.14,-17505.25,101.83,-12691.16,34.44,-24.75,459793.97,6086476.12,1412.01,0.08,56.74,216.92,9.6,0.26,0.06,449,121.71,222.69,iron
1,948053646,1,0,1,17.89,0.27,221.46,1.56,313.37,15.84,207.36,-45.86,1.374,0.102,1.172,0.085,738.37,12.86,3284.68,7835.49,2.06,0.04,-12287.88,22.36,-21520.43,22.35,-58.01,465030.41,6077665.19,1390.9,0.07,78.53,225.51,10.38,0.26,0.05,342,32.71,179.8,iron
